Tree order	OS_name	Isolate name	Standardized name	Isolation	Ecological origins	Geographical origins	HO deletion	Plasmid class	Plasmid CN	Ploidy	Aneuploidies	Zygosity	Total number of SNPs	Proportion of clean heterozygous SNPs (whole dataset)	Number of singletons	Mean coverage	Clade	MTA (no distribution)	Collection / Provider	Reference
51	OS_1399	CBS4667	ASE	Grapes	Wine	Former Czechoslovakia	no	none	0	2	euploid	heterozygous	43,656	4.5	1	226	1. Wine/European 		CBS collection (Nguyen H.V.)	
52	OS_479	MC7	AIQ	Spontaneous alcoholic fermentation	Fermentation	Umbria, Italy	no	A	15	2	euploid	heterozygous	47,267	16.9	323	251	1. Wine/European 		Universita politecnica delle Marche (Maurizio Ciani)	4
53	OS_1215	DBVPG1625	BLG	Grape must	Wine	La Enconienda, La Mancha, Spain 	no	A	59	2	euploid	heterozygous	46,748	15.2	24	300	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
54	OS_1217	DBVPG1629	BLI	Grape must	Wine	La Mancha, Spain	no	A	39	2	euploid	heterozygous	47,028	15.7	28	372	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
55	OS_795	CLIB154_1b	ACP	Wine	Wine	Russia	yes	A	22	1	euploid	homozygous	43,074	0.0	221	241	1. Wine/European (subclade 1)		Kruglyak Laboratory	1
56	OS_1258	DBVPG1994	BQA	Grapes	Wine	Greece	no	A	10	2	euploid	homozygous	42,970	0.0	215	277	1. Wine/European (subclade 1)		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
57	OS_590	21-4-125	AMA	Fruit of plum tree (Prunus domestica L., 'Stanley')	Fruit	Male Zaluzie, Slovakia	no	A	43	3	euploid	heterozygous	47,184	18.5	320	232	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
58	OS_585	21-4-111	ALQ	Leaves of Prunus domestica L., 'Stanley'	Tree	Male Zaluzie, Slovakia	no	A	56	2	euploid	homozygous	42,959	0.0	138	251	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
59	OS_671	CCY_21-4-120	BBI	Blossoms of plum tree (Prunus domestica L., 'Stanley')	Flower	Male Levare, Slovakia	no	A	20	2	euploid	homozygous	43,097	0.0	197	279	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
60	OS_588	21-4-122	ALT	Blossoms of apricot tree (Prunus armeniaca)	Flower	Male Zaluzie, Slovakia	no	A	28	2	euploid	homozygous	43,053	0.0	1	222	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
61	OS_672	CCY_21-4-121	BBK	Blossoms of apricot tree (Prunus armeniaca L., Madraska)	Flower	Male Zaluzie, Slovakia	no	A	42	2	euploid	homozygous	43,352	0.0	1	268	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
62	OS_1446	EXF-5287	BFB	Plum	Nature	Slovenia	no	A	94	2	euploid	heterozygous	46,371	16.7	239	213	1. Wine/European (subclade 1)		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
63	OS_1448	EXF-5297	BFD	Mashed pears	Fruit	Slovenia	no	A	63	2	euploid	homozygous	43,547	0.0	219	270	1. Wine/European (subclade 1)		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
64	OS_587	21-4-116	ALS	Blossom of apple tree (Malus domestica)	Flower	Male levare, Slovakia	no	A	35	2	euploid	homozygous	43,126	0.0	5	228	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
65	OS_670	CCY_21-4-119	BBH	Blossoms of pear tree (Pyrus communis)	Flower	Male Levare, Slovakia	no	A	51	2	euploid	homozygous	43,197	0.0	10	250	1. Wine/European (subclade 1)		Culture collection of Yeast (Renata Vadkertiova)	
66	OS_1250	DBVPG1918	BPQ	Grape must	Wine	Malta	no	A	36	2	euploid	homozygous	42,978	0.0	121	180	1. Wine/European (subclade 1)		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
67	OS_1271	DBVPG4186	BQN	Wine	Wine	Slovenia	no	A	31	2	euploid	homozygous	43,170	0.0	6	196	1. Wine/European (subclade 1)		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
68	OS_1461	DBVPG4036	CBI	Grape must	Wine	ex Yugoslavia	no	A	43	2	euploid	homozygous	43,172	0.0	7	194	1. Wine/European (subclade 1)		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
69	OS_1569	N493-2C	CCM	Fir tree needles	Tree	Kiev district, Ukraine	no	A	101	2	euploid	homozygous	43,172	0.0	167	262	1. Wine/European (subclade 1)		State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
70	OS_1439	EXF-3387	BEP	Homemade apple vingar	Unknown	Ljubljana, Slovenia	no	A	80	2	euploid	heterozygous	44,797	9.4	217	236	1. Wine/European (subclade 1)		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
71	OS_1280	DBVPG4695	BRC	Winery surface at the beginning of Vino Santo production, Lungarotti winery	Wine	Torgiano, Perugia, Italy	no	A	9	2	euploid	homozygous	42,776	0.0	156	261	1. Wine/European (subclade 1)		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
72	OS_1649	Lib39	CGT	Fermenting grape must (white wine)	Wine	Lebanon	no	A	6	2	euploid	homozygous	43,263	0.0	156	264	1. Wine/European (subclade 1)		INRA Gringnon, France (Nguyen H.V.)	
73	OS_579	21-4-99	ALL	River water (Danube)	Water	Bratislava, Slovakia	no	A	29	2	euploid	heterozygous	46,123	13.9	60	263	1. Wine/European 		Culture collection of Yeast (Renata Vadkertiova)	
74	OS_580	21-4-101	ALM	River water (Danube)	Water	Bratislava, Slovakia	no	A	32	2	aneu;+1*9;	heterozygous	45,766	13.4	44	203	1. Wine/European 		Culture collection of Yeast (Renata Vadkertiova)	
75	OS_1438	CECT1478	AVH	Wine	Wine	Hungary	no	none	0	2	aneu;+1*2;+1*6;+1*7;+1*10;+1*13;+1*15;+1*16;	homozygous	42,765	0.0	309	266	1. Wine/European 		CECT collection	
76	OS_758	CBS1227	AHR	Abscess on epididymis	Human, clinical	Romania	yes	A	1	1	euploid	homozygous	42,774	0.0	7	268	1. Wine/European 		CBS collection (Nguyen H.V.)	
77	OS_1679	YJM244	SACE_YAD	Human	Human, clinical	Romania	no	A	61	2	euploid	homozygous	42,587	0.0	1	91	1. Wine/European 		Phaff collection	2
78	OS_732	CBS1582	AGH	Wine	Wine	Portugal	yes	A	30	1	euploid	homozygous	42,592	0.0	318	225	1. Wine/European 		CBS collection (Nguyen H.V.)	
79	OS_383	ZP_577	BTH	Quercus faginea	Tree	Portugal, Aldeia das Dez, S. Estrela,	no	A	7	2	euploid	homozygous	42,813	0.0	337	324	1. Wine/European 		Faculdade de Ciencias e Tecnologia of Universidade NOVA de Lisboa (FCT-NOVA)(Jose Paulo Sampaio)	
80	OS_1420	UC4	ATH	Vineyard	Wine	Germany	no	A	125	2	euploid	heterozygous	44,025	6.0	418	214	1. Wine/European 		Washington University School of Medicine (Justin C Fay)	5
81	OS_1115	CLIB484	BFQ	Cider brewery, industrial raw juice	Cider	Brittany, France	no	A	20	2	euploid	homozygous	42,381	0.0	5	263	1. Wine/European 		CLIB collection (Serge Casaregola)	
82	OS_1517	SRC 147	CIA	Bioindustrial strains	Industrial	Bretagne, France	no	A	42	2	euploid	homozygous	42,511	0.0	6	263	1. Wine/European 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
83	OS_1116	CLIB485	BFR	Cider brewery, industrial raw juice	Cider	Brittany, France	no	A	35	2	euploid	homozygous	42,270	0.0	3	236	1. Wine/European 		CLIB collection (Serge Casaregola)	
84	OS_1518	SRC 213	CIB	Bioindustrial strains	Industrial	Bretagne, France	no	A	72	2	euploid	homozygous	42,207	0.0	5	220	1. Wine/European 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
85	OS_1459	DBVPG1978	CBG	Grape must	Wine	Slovakia	no	A	21	2	euploid	heterozygous	45,588	13.9	498	167	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
86	OS_788	CLIB294_1b	ACF	Distillery	Distillery	France	yes	A	28	1	euploid	homozygous	42,639	0.0	252	202	1. Wine/European 		CLIB collection / Bureau National Interprofessionnel du Cognac	1
87	OS_1717	YJM1356	SACE_YCD	Cider	Cider	NA	no	A	99	2	aneu;+1*1;	homozygous	43,202	0.0	188	321	1. Wine/European 		Phaff collection	2
88	OS_1354	CBS423	APS	Wine	Wine	Switzerland	no	A	131	2	aneu;+1*1;+1*8;+1*14;	heterozygous	44,618	8.4	548	219	1. Wine/European 		CBS collection (Nguyen H.V.)	
89	OS_1378	CBS1257	ARC	Wine	Wine	Germany	no	A	149	2	aneu;+1*14;	heterozygous	44,120	6.3	640	220	1. Wine/European 		CBS collection (Nguyen H.V.)	
90	OS_1441	EXF-5042	BER	Straw broom sink cleaning after grape pressing	Wine	Slovenia	no	A	85	2	euploid	heterozygous	44,073	5.4	548	251	1. Wine/European 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
91	OS_1442	EXF-5046	BES	Grapes	Wine	Slovenia	no	A	210	2	euploid	heterozygous	43,843	5.5	578	238	1. Wine/European 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
92	OS_1385	CBS1602	ARK	Must of Blanchard pears	Fruit	NA	no	A	28	2	aneu;+1*8;+1*13;	heterozygous	43,956	4.7	392	270	1. Wine/European 		CBS collection (Nguyen H.V.)	
93	OS_1414	PR	ATA	Vineyard	Wine	France	no	none	0	2	euploid	homozygous	42,868	0.0	304	276	1. Wine/European 		Washington University School of Medicine (Justin C Fay)	5
94	OS_1390	CBS2271	ARQ	Wine	Wine	Belgium	no	none	0	2	euploid	homozygous	42,347	0.0	475	196	1. Wine/European 		CBS collection (Nguyen H.V.)	
95	NA	YJM1242	SACE_YBN	Unknown	Fruit	Illinois, USA	no	A	72	2	euploid	homozygous	42,791	0.0	9	217	1. Wine/European 			2
96	OS_1356	CBS1250	APV	Cherry wine	Wine	Spain	no	A	18	2	euploid	homozygous	42,341	0.0	17	226	1. Wine/European 		CBS collection (Nguyen H.V.)	
97	OS_1562	UCD_40-49	CFV	Citrus fermentation	Fruit	NA	no	A	67	2	aneu;+1*1;+1*4;	homozygous	42,651	0.0	25	291	1. Wine/European 		Phaff collection	
98	NA	YJM1477	SACE_YDC	Blatz beer	Beer	Ethiopia	no	A	47	2	euploid	homozygous	43,345	0.0	10	295	1. Wine/European 			2
99	OS_688	L1528	SACE_GAP	Wine	Wine	Chile	no	A	33	2	euploid	homozygous	40,705	0.0	347	19	1. Wine/European 		Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	6
100	OS_748	CBS2966a	AAI	Distillery	Distillery	Denmark	yes	none	0	1	euploid	homozygous	43,085	0.0	18	243	1. Wine/European 		CBS collection (Nguyen H.V.)	
101	OS_1394	CBS2965	ARV	Distillery	Distillery	Denmark	no	A	87	2	aneu;+1*1;	homozygous	43,022	0.0	10	253	1. Wine/European 		CBS collection (Nguyen H.V.)	
102	OS_1147	CLIB1040	BHC	Cider brewery, raw apple juice	Cider	Brittany, France	no	A	60	2	euploid	heterozygous	45,562	5.5	283	180	1. Wine/European 		CLIB collection (Serge Casaregola)	
103	OS_1150	CLIB1062	BHF	Cider brewery, half fermenting apple juice	Cider	Brittany, France	no	A	37	2	euploid	homozygous	42,980	0.0	198	283	1. Wine/European 		CLIB collection (Serge Casaregola)	
104	OS_1210	DBVPG1601	BLB	Grape must	Wine	Casa del Rey, La Mancha, Spain	no	A	24	2	euploid	homozygous	42,545	0.0	410	239	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
105	OS_1249	DBVPG1898	BPP	Grape must	Wine	Pantelleria, Italy	no	A	25	2	aneu;+1*1;	homozygous	42,668	0.0	404	265	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
106	OS_409	L-475	BTN	Wine	Wine	Chile	no	A	21	2	euploid	homozygous	42,470	0.0	293	193	1. Wine/European 		Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	
107	OS_407	L-304	BTL	Wine	Wine	Chile	no	A	5	2	euploid	homozygous	42,632	0.0	273	210	1. Wine/European 		Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	
108	OS_408	L-319	CRH	Wine	Wine	Chile	no	A	10	2	euploid	heterozygous	45,482	10.0	411	228	1. Wine/European 		Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	
109	OS_1676	YJM189	SACE_YAA	Unknown	Distillery	NA	no	A	45	2	euploid	homozygous	43,640	0.0	391	167	1. Wine/European 		Phaff collection	2
110	OS_211	L-1183	BSP	Wine	Wine	Uruguay	no	A	14	2	euploid	homozygous	41,722	0.0	306	143	1. Wine/European 		Pontificia Universidad Catolica de Chile (Claudio Martinez)	
111	OS_849	CBS1460	AHT	Fermenting fruit	Fermentation	Indonesia	yes	A	11	1	euploid	homozygous	43,122	0.0	20	244	1. Wine/European 		CBS collection (Nguyen H.V.)	
112	OS_1425	Y4	ATN	Fruit	Fruit	Indonesia	no	A	85	2	euploid	homozygous	43,041	0.0	1	235	1. Wine/European 		Washington University School of Medicine (Justin C Fay)	5
113	NA	YJM1244	SACE_YBO	Unknown	Fruit	Indonesia	no	A	64	2	euploid	homozygous	43,261	0.0	4	58	1. Wine/European 			2
114	OS_1226	DBVPG1701	BNK	Grape must	Wine	Cihuri, Rioja, Spain	no	A	20	2	euploid	homozygous	42,671	0.0	6	196	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
115	OS_1232	DBVPG1725	BNR	Grape must	Wine	La Puebla de la Barca, Rioja, Spain	no	A	52	2	euploid	homozygous	42,630	0.0	2	199	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
116	OS_1266	DBVPG3100	BQH	Grape must	Wine	Toscana, Italy	no	A	27	2	euploid	heterozygous	46,498	13.9	542	216	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
117	OS_1440	EXF-4126	BEQ	Dry wine-berry selection	Wine	Ljubljana, Slovenia	no	A	67	2	euploid	heterozygous	50,512	26.0	405	240	1. Wine/European 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
118	OS_474	C15.1	AIK	Palm nuts 	Nature	Cameroon	no	A	23	2	euploid	heterozygous	43,321	3.0	138	278	1. Wine/European 			3
119	OS_1333	D-1	CAH	Wine conserved in amphora	Wine	Georgia	no	A	100	2	aneu;+1*4;	heterozygous	46,741	17.0	12	210	1. Wine/European 		University of Basilicata (Angela Capece and Patrizia Romano)	7
120	OS_1345	A-14	CBA	Wine conserved in amphora	Wine	Georgia	no	A	64	2	euploid	heterozygous	46,883	17.3	7	229	1. Wine/European 		University of Basilicata (Angela Capece and Patrizia Romano)	7
121	OS_1334	D-4	CAI	Wine conserved in amphora	Wine	Georgia	no	A	17	2	euploid	heterozygous	34,543	25.2	1	54	1. Wine/European 		University of Basilicata (Angela Capece and Patrizia Romano)	7
122	OS_1335	A-16	CAK	Wine conserved in amphora	Wine	Georgia	no	A	12	2	euploid	heterozygous	49,833	24.2	7	337	1. Wine/European 		University of Basilicata (Angela Capece and Patrizia Romano)	7
123	OS_1336	A-19	CAL	Wine conserved in amphora	Wine	Georgia	no	A	17	2	euploid	heterozygous	49,751	25.0	3	232	1. Wine/European 		University of Basilicata (Angela Capece and Patrizia Romano)	7
124	OS_193	M57	BSL	Wine	Wine	Italy	no	A	8	2	euploid	heterozygous	48,560	22.4	58	217	1. Wine/European 		University of Florence (Duccio Cavalieri)	8
125	OS_1711	YJM1332	SACE_YBX	Unknown	Wine	Italy	no	A	40	2	euploid	homozygous	43,609	0.0	10	298	1. Wine/European 		Phaff collection	2
126	OS_1301	DBVPG6880	BSE	Winery	Wine	Ridge Winery, California, USA	no	A	45	2	euploid	homozygous	42,960	0.0	196	254	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
127	OS_857	RM11-1a	AAA	Zinfandel vineyard	Wine	California, USA	yes	none	0	1	euploid	homozygous	42,872	0.0	254	218	1. Wine/European 		Kruglyak Laboratory	
128	OS_1668	UCD_40-255	CFS	Red Tokay grapes  (1939)	Wine	Walnut Creek, California	no	A	153	4	aneu;+1*2;-1*6;	homozygous	43,275	0.0	110	302	1. Wine/European 		Phaff collection	
129	OS_1444	EXF-5248	BEV	Seawater in harbour	Water	Koper, Slovenia	no	A	60	2	euploid	homozygous	42,934	0.0	1	190	1. Wine/European 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
